,Item Number,Monetary,Frequency,Recent_Date
613,942030,76.56,1,2014-05-07
614,901266,103.65,3,2017-02-10
615,41278,254.7,1,2012-04-16
616,35917,4314893.99,44698,2020-09-30
617,82957,300254.97,3282,2020-09-29
618,80058,108682.03,2097,2020-09-30
619,68126,1295283.2,14211,2020-09-30
620,15739,647371.21,6472,2020-09-30
621,40576,51982.28,708,2014-09-29
622,84161,2857.14,83,2013-04-11
623,28868,4163201.65,13721,2020-09-30
624,40351,10844.49,253,2014-12-31
625,86728,129303.78,1003,2015-07-14
626,30056,309940.5,8550,2020-09-30
627,14481,14317.23,176,2017-01-27
628,59161,392657.4,2727,2020-09-30
629,84160,4264.92,113,2013-04-11
630,965264,16450.56,47,2020-07-30
631,41940,14130.35,195,2016-04-26
632,40308,2145.0,36,2014-12-17
633,65534,6436.32,32,2016-01-04
634,11520,7649.64,99,2015-12-28
635,902665,6300.0,30,2015-05-14
636,905500,1701.0,2,2014-01-28
637,2889,5323.95,49,2015-01-29
638,250,11241.0,16,2016-08-01
639,901365,12705.19,20,2020-03-30
640,139,29533.15,83,2017-05-05
641,901005,1060.02,12,2017-06-09
642,902355,7248.72,22,2018-06-11
643,901132,729.6,10,2017-07-07
644,901180,699.66,11,2017-11-30
645,146,19080.0,33,2016-08-01
646,901334,966.36,3,2014-01-16
647,901167,1861.32,20,2017-11-30
648,38176,21650185.9,84201,2020-09-30
649,10009,258148.23,4185,2020-09-30
650,36904,7825910.18,99609,2020-09-30
651,26824,2687651.12,29725,2020-09-30
652,31656,612577.57,14742,2020-09-30
653,56850,298690.75,6119,2020-05-18
654,28246,389179.55,4892,2020-09-29
655,37414,354861.9,9406,2020-09-30
656,40407,59655.54,2454,2016-09-06
657,35961,49698.95,647,2015-12-30
658,89016,18810.0,108,2016-06-29
659,63825,27830.61,971,2013-02-11
660,40271,12924.14,197,2015-04-01
661,73685,35621.12,683,2016-11-29
662,74790,6422.4,124,2014-12-30
663,352,14197.74,205,2016-01-27
664,901124,432.33,6,2017-06-09
